min_ax,max_ax,sd_ax,max_abs_ay,sd_ay,m_v,max_v,sd_v,sd_PosInLa,m_PosInLa,m_THW,sd_THW,min_THW,min_TTC,m_LonDist_LeadV,sd_LonDist_LeadV,m_v_LeadV,sd_v_LeadV,m_THW_RearV,sd_THW_RearV,min_THW_RearV,min_ax_RearV,sc_start_idx,N_samples,speedLimit,temperature,baseline,driver_type,scenario,condition,road_type,driver_type_tag
0.137499999999999,0.96875,0.235539574649275,0.592499999999998,0.571364260521799,24.4135042735043,26.3027777777778,0.964809991933686,0.487420428864071,0.577561604804718,0.701652915192394,0.18543888593589,0.482723892585221,-20,16.9996289658807,3.99257005517728,25.3425059306623,0.757348230051896,NaN,NaN,NaN,NaN,2680,65,31.3,20,1,1,Lane_change,Baseline,All,Professional
0.887499999999999,1.00625,0.044868679389431,0.803749999999997,0.598790091654525,26.8079861111111,27.2416666666667,0.281540254267001,0.26351778149429,1.37322011248519,0.556917875586356,0.00632133388122838,0.54791805613236,-20,14.7981745725386,0.0890855519734759,26.2684168119757,0.0138403137996559,NaN,NaN,NaN,NaN,2745,12,31.3,20,1,1,Lane_change,Baseline,All,Professional
0.850000000000001,0.987499999999997,0.0375479408468974,0.678750000000001,0.197812086866618,28.0203472222222,28.7166666666667,0.437091328436161,0.265801396412656,0.286900046467781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2757,20,31.3,20,1,1,Lane_change,Baseline,All,Professional
-0.431249999999999,0.518750000000001,0.26268651695109,0.866249999999997,0.357977681441024,28.8723069105691,29.2569444444444,0.332365446326821,0.501315953929191,0.613132697325654,1.37858835299098,0.0161292725692685,1.3612743356874,-20,39.5698292504692,0.273927952726304,34.1564880439498,13.1075416151235,1.08127094142439,0.187311839810158,0.849300484324527,-0.56103437420461,3450,82,31.3,20,1,1,Lane_change,Baseline,All,Professional
-0.587500000000002,-0.318750000000001,0.0543971120007778,0.87875,0.549893551893179,29.2604681069959,29.9277777777778,0.411274571673957,0.528212275871867,0.699503301401381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.80273502473947,0.163894728080476,1.51276076698154,-260.462951897193,4410,54,31.3,19.5,1,1,Lane_change,Baseline,All,Professional
-0.53125,0.556250000000002,0.373495253544914,0.38625,0.198912945146926,32.2297364672365,32.9916666666667,0.536625468024181,0.535785760574554,0.600481725321748,2.15720487380098,0.0824147155045308,2.03490967117521,8.19218836957463,70.6935620029206,2.97174554642436,23.8476109479585,0.0934152238667958,1.70913290185554,0.014124958571132,1.67541740768199,-2.00405623264814,4735,78,31.3,19.5,1,1,Lane_change,Baseline,All,Professional
-0.337500000000002,0.493750000000002,0.193491279300374,0.298749999999998,0.269169070436843,28.3435575635877,28.8111111111111,0.25997503911143,0.519587116702193,0.647191842905728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6534,83,31.3,20.5,1,1,Lane_change,Baseline,All,Professional
-0.550000000000001,0.8125,0.385052420883578,0.922499999999999,0.245626024386093,31.4036773989899,32.3819444444444,0.676972644283451,0.541314559229267,0.749924196967516,1.39112811988986,0.428149473127264,1.087961651738,-20,43.8753977683255,14.4175801447388,29.136607891609,2.58478896458984,0.910141730552803,0.028185967610358,0.835850304365226,-62.6289951950778,6805,88,31.3,20.5,1,1,Lane_change,Baseline,All,Professional
0.0812500000000007,1.2,0.298304256732306,0.598749999999999,0.445084047090467,30.6333129084967,33.6083333333333,1.86947003284217,0.538399559110022,0.548321699614034,0.649849245367498,0.119982637910986,0.494174104170814,-20,20.1171314916011,4.8133849693634,31.8518349972328,2.23562985230671,1.60805249170937,0.0327215543450587,1.56636665526695,-1.85492514887535,7274,68,31.3,21,1,1,Lane_change,Baseline,All,Professional
-0.462499999999999,-0.0812500000000007,0.0911664124272561,0.0300000000000011,0.596498667206546,31.4062352245863,31.8347222222222,0.306451375720073,0.523737464730119,0.844187988166479,2.09882170541089,0.0525172543213558,2.0192945731166,-20,65.2277383872317,1.26089878749373,33.2793322086558,0.0335659791151968,1.27594217451276,0.0539266993268112,1.18400615279529,-0.530432069004796,7669,47,31.3,21,1,1,Lane_change,Baseline,All,Professional
