min_TTC,THW_at_min_TTC,m_vel_LV,min_vel_LV,max_vel_LV,sd_vel_LV,m_rel_vel,sd_rel_vel,sd_abs_acc,m_THW,sd_THW,sc_start_idx,N_samples,speedLimit,temperature,baseline,driver_type,scenario,condition,road_type,driver_type_tag
-20,1.9910168418517,20.3316260735035,19.1636290056147,21.2003071615275,0.456490202898532,1.13831801767676,0.361951901882187,0.434003889579372,1.9910168418517,0.178651719886691,945,315,31.3,20.5162698412698,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,3.04233566662674,19.1646380136015,18.6381932803817,19.6376571789954,0.338285287748827,3.8246759839839,0.412879066004205,0.399946050740522,3.04233566662674,0.058035441597774,1361,35,31.3,20.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,3.27189360343253,17.6611299358006,16.6191332334267,18.2650937671563,0.521983588599818,3.37461720850119,0.535351116626521,0.572001684201274,3.28863480165316,0.0293191970816445,1407,25,31.3,20.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.63561171327693,15.7637048559859,15.4139682697257,16.4348504312964,0.29480090867678,1.78416129441581,0.480759679384604,0.689149828527853,2.63561171327693,0.0463221739472521,1840,43,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.80022322310406,15.0541589934068,14.3883157991994,15.5300418776983,0.279027016089376,1.92585629554,0.921129158969988,0.588580700142253,1.77438734298339,0.0499672110298531,2275,85,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.628237373168029,23.118873456626,22.4503358312438,24.2691863328714,0.543693229484308,1.12619338238955,0.47597123524353,10.0524604286788,0.680268470198273,0.0787018515870728,2576,103,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.929290034829236,25.2407029614624,24.3577998053006,26.0924290763394,0.718127244158,1.59534872057315,0.275635455908784,0.314313866478526,0.716143027501005,0.194461100648562,2683,52,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
20,2.71324276332051,26.6948900268138,26.61597986827,26.8078181418383,0.0472958188065879,0.485150589306069,0.0826293697039326,0.304754809181006,2.71324276332051,0.0292699810109502,2990,24,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
20,2.31375354480255,24.1826985546874,2.50815428615199,28.7793733923079,7.80453214861407,1.06947508470574,0.291900989600126,29.8706124422107,2.31375354480255,0.165506329186656,3222,87,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
18.3547743390331,1.51038730970317,16.7850334212648,5.34987831146598,26.9957710380152,7.59972081791731,1.42242696663786,0.665413282314158,87.8343551200589,1.40533161831462,0.0655654287517232,3311,43,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.27341793963762,34.2249948831762,27.3467633824024,50.092199237386,6.24455313392762,1.50954465440965,0.798092358068402,49.1357994091552,1.29242295760782,0.0379661798087808,3388,60,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.48962723448184,27.77590793307,27.5397902932304,28.2707310515365,0.181480449468856,0.533979599112145,0.284707959054777,0.36965735810615,1.48692363191059,0.0277975910465985,3588,45,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.54207713663589,28.4181704184005,27.8243314216605,29.7666466879332,0.673181565067215,1.22096057912211,0.71835594644197,0.498667159635834,1.54931949461229,0.137667524646926,3681,202,31.3,19.8242574257426,1,1,Following_a_lead_vehicle,Baseline,All,Professional
11.2147483998573,1.23884380004344,28.1584136231998,26.1263256771852,29.0588038227448,0.980316597636771,1.80212493096601,0.545180943321398,0.528132685807477,1.69075790043715,0.571960210907878,5593,151,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.39425539220734,29.8495990579874,27.1393510349279,30.1790741647683,0.795173252862676,2.00151490859939,0.532706027044498,0.401219186723963,2.34093116943404,0.445916901213846,5820,34,31.3,20,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.74127557540778,27.6891066385801,25.2586066149155,29.0482125877694,0.705679272118631,1.51114541371042,0.602376403364637,0.593897817393054,1.98218147007911,0.281214499467842,6091,163,31.3,20.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.24100106899473,30.3077411627657,27.8933846557613,30.7491992706277,0.697529764224155,1.25227869461344,0.379114920477271,0.545899985798243,1.33859020256142,0.281031786041314,6856,179,31.3,20.5844972067039,1,1,Following_a_lead_vehicle,Baseline,All,Professional
9.43042344311644,0.941454253043357,26.6759116536652,26.0572695953802,27.308807299887,0.370455526841007,2.69840183094188,0.635600530654177,0.80032020325747,1.24147746499466,0.209332313995673,7126,59,31.3,20.7733050847458,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.2313044786214,33.3237227018838,33.2536231788735,33.4311572786821,0.0485796061080797,4.00748349347924,0.340354599381495,0.504001995458475,2.38295990937524,0.105396187836091,7718,26,31.3,21,1,1,Following_a_lead_vehicle,Baseline,All,Professional
13.1816434820208,1.05771070395964,27.9949231749096,27.8584029733448,28.1935301748191,0.0912193366650419,1.83734252375552,0.600504291313054,0.416945295866849,0.961704392966408,0.123601568306758,8152,59,31.3,21,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.835803442714267,28.7233516604345,28.0355429674559,29.4691750800263,0.407651278467566,0.849085687617966,0.263336842218289,0.172933592520423,0.834058875451492,0.07707550955798,8253,399,31.3,21.2731829573935,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.990556069202147,28.1725381642173,27.9633736898389,28.549263634355,0.187162203663851,0.296399362334472,0.111385077823523,0.176511079367303,0.990556069202147,0.00365152206658148,8877,28,31.3,21.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-10.8926286962027,2.27099971649092,38.6125628947243,37.0299060058346,39.7361204661145,0.884531486044253,6.09766827690665,0.861951780817134,0.960584019866334,1.83551329107042,0.242718780424198,9373,51,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.58738783618664,29.8994547959728,23.9152169598042,30.5213252275422,1.30122913619424,0.747893055954815,1.20100938679839,0.642908900152962,1.60358934993529,0.130614458769857,9710,134,31.3,21.6408582089552,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.85710942692368,30.7800991106152,29.9682105476525,31.2149211754506,0.375618651583468,0.978645730401664,0.372789362163707,0.388517032561927,1.84307728199256,0.0313914973313811,9952,117,31.3,21.75,1,1,Following_a_lead_vehicle,Baseline,All,Professional
20,1.52383968920778,29.452961234244,29.3878427344484,29.5127072821207,0.0328522685704453,0.728470822578859,0.0693415004515613,0.344291680600778,1.52383968920778,0.0263227049321838,10106,21,31.3,21.75,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.772301847099902,28.2838320072288,25.9154836826663,30.1884863071597,1.7150728900214,0.603406412025463,0.432118895187043,0.386104952300127,0.777558828423885,0.0591007129423009,10233,157,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.02133008708083,26.1960525831323,26.1140524113797,26.2950542932168,0.0466965783171207,0.846526138271224,0.423169805810457,0.302681417742204,0.991563081015601,0.0439825314010984,10417,44,31.3,21.75,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.09320378852863,32.1960010656086,31.950667832631,32.3553523473298,0.112610416826828,1.6178840620582,0.222630699721552,0.273880381247098,1.09973947425605,0.0506075049311848,10730,56,31.3,22,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.856308647777096,30.1872311478572,29.8204767821652,30.3456476104213,0.147081628297324,0.461250372988676,0.229865550496075,0.351660623677,0.866029181335605,0.0270272234919343,10883,33,31.3,22,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.656161358008048,29.5205879875335,29.1084365923627,30.5584417326643,0.433810717387634,0.881782078618845,0.471082415820926,0.270108798994114,0.669580886571258,0.0237918521325861,10942,107,31.3,22,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.06905411373551,31.0513330132729,30.8031570635281,31.5583334415953,0.204525179212176,1.49526099902502,0.253313079484018,0.355905802418092,1.06440432424973,0.0565883147145729,11086,90,31.3,22,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.28046994033423,31.7687652199722,30.1128176979553,32.274490519584,0.53325480341492,1.34010060252271,0.342617639054676,33.5681160697555,1.24116075427955,0.124526656122254,11184,84,31.3,22,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.06917507643775,32.0124652899817,30.7631949185481,70.0089011812815,5.98749331274349,1.30419369300108,0.423514467442145,28.4399513746325,1.01547353452568,0.0807673764087262,11326,157,31.3,21.9450636942675,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.92466809443492,29.3012316679306,25.6525322455241,30.8167369458244,1.00341774739506,0.912770011365094,0.442094455133605,0.419362719044532,0.943578728023761,0.0939802149278716,11900,435,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
15.3652820040441,1.93704971737768,25.705431381412,25.5222430376712,25.872925100528,0.070578383970016,3.52224776280991,0.356121900923223,0.766700843033445,1.87824403818189,0.100475352304479,12426,30,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.22744933522021,32.6995102247778,32.152266758702,33.7701070884176,0.419017930138609,1.86786455024586,0.356421559897205,0.569450008958845,2.22744933522021,0.132952968860903,12910,91,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-9.99604948783766,0.642483177022441,30.5883887156651,21.9337931385426,65.6791832180318,6.37403409585981,1.70495020756537,1.26441283096918,23.3878135564891,0.731448392988907,0.178320789491943,13307,80,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
