speed_SS;vel_lat_obj_SS;N_rel_obj_SS;rel_dist_long_rel_objs_SS;rel_dist_lat_rel_objs_SS;max_long_acc;min_long_acc;m_long_acc;min_lat_acc;max_lat_acc;m_lat_acc;dist_lan_ctr_SS;duration;lane_wid;indicator;sc_start_idx;N_samples;speedLimit;temperature;baseline;driver_type;scenario;condition;road_type;driver_type_tag
299.361.111.111.111;"[29.9361111111111;0.212499999999999;-0.467500000000001;0.188371300697327;-1.36388888888889;NaN]";8;"[NaN;50.9444222514546;1.82675296189224;0.825413366582005;0.47144752543204;NaN;3.50201177597046;50.9444222514546]";"[NaN;3;1.82675296189224;0.825413366582005;0.47144752543204;NaN;3.50201177597046;6]";0.212499999999999;-0.1875;-0.0125000000000001;-142.125;0.067499999999999;-0.696269841269841;0.188371300697327;6.3;350.201.177.597.046;1;7851;63;31.3;20.75;1;1;Lane_change;Baseline;All;Professional
340.305.555.555.556;"[34.0305555555556;0.793750000000003;-0.486250000000002;0.295337438583374;2.73055555555556;NaN]";8;"[NaN;NaN;NaN;NaN;NaN;NaN;3.68659448623657;NaN]";"[NaN;1;NaN;NaN;NaN;NaN;3.68659448623657;3]";0.862500000000001;-0.550000000000001;0.000323275862069284;-110.375;0.161250000000003;-0.62364224137931;0.295337438583374;5.8;368.659.448.623.657;1;8043;58;31.3;20.75;1;1;Lane_change;Baseline;All;Professional
27.1;"[27.1;0.262500000000003;-0.734999999999999;0.188879549503326;-4.2;0.872643178852046]";8;"[23.6486301468905;NaN;NaN;NaN;NaN;0.850422116646556;3.4815262556076;NaN]";"[-1.09049445621689;3;NaN;NaN;NaN;0.850422116646556;3.4815262556076;6]";10.375;0.181250000000002;0.658306962025316;-0.859999999999999;0.610624999999999;-0.107856012658228;0.188879549503326;7.9;34.815.262.556.076;1;9264;79;31.3;21.5;1;1;Lane_change;Baseline;All;Professional
329.361.111.111.111;"[32.9361111111111;0.09375;0.14875;0.028831958770752;1.63611111111111;NaN]";8;"[NaN;38.6067038713641;1.15910104625981;-0.364715997886108;NaN;NaN;3.49372625350952;38.6067038713641]";"[NaN;2;1.15910104625981;-0.364715997886108;NaN;NaN;3.49372625350952;9]";0.21875;-0.275000000000002;-0.00278716216216236;-0.6175;0.592500000000001;0.00402871621621615;0.028831958770752;7.4;349.372.625.350.952;1;9489;74;31.3;21.75;1;1;Lane_change;Baseline;All;Professional
275.305.555.555.556;"[27.5305555555556;0.731249999999999;-1.11625;0.0420897006988525;-3.76944444444445;0.902481240583214]";8;"[24.8458099317229;26.8468726780869;1.02624236449327;0.889157929101916;-0.147701253385186;-0.822168548823115;3.5184178352356;26.8468726780869]";"[-0.932072108032756;3;1.02624236449327;0.889157929101916;-0.147701253385186;-0.822168548823115;3.5184178352356;6]";16.125;0.587500000000002;0.91195652173913;-127.875;0.298749999999998;-0.589945652173913;0.0420897006988525;4.6;35.184.178.352.356;0;10459;46;31.3;21.75;1;1;Lane_change;Baseline;All;Professional
30.625;"[30.625;-0.443750000000001;-0.436250000000001;0.0283305048942566;-0.675000000000001;NaN]";8;"[NaN;55.2257369048118;1.76655776356476;-0.291103414829458;0.376682238750341;NaN;3.55232441425323;55.2257369048118]";"[NaN;2;1.76655776356476;-0.291103414829458;0.376682238750341;NaN;3.55232441425323;9]";0.237500000000001;-0.475000000000001;-0.189957865168539;-0.841249999999999;0.5425;-0.037317415730337;0.0283305048942566;8.9;355.232.441.425.323;1;11510;89;31.3;21.75;1;1;Lane_change;Baseline;All;Professional
278.194.444.444.444;"[27.8194444444444;0.881250000000001;-0.778749999999999;0.165007948875427;-3.48055555555555;1.45659375762439]";8;"[40.5216291183563;45.8602169714993;1.54799647057871;-0.419093154645488;0.389894905091914;0.321167463008969;3.35563087463379;45.8602169714993]";"[0.306541232565106;3;1.54799647057871;-0.419093154645488;0.389894905091914;0.321167463008969;3.35563087463379;6]";170.625;0;0.958898305084745;-102.875;0.51125;-0.134724576271186;0.165007948875427;5.9;335.563.087.463.379;1;12588;59;31.3;21.5;1;1;Lane_change;Baseline;All;Professional
337.333.333.333.333;"[33.7333333333333;-0.03125;-0.1175;0.345914006233215;2.43333333333333;1.44256883036096]";8;"[48.662655210843;NaN;NaN;NaN;NaN;5.27432409644136;3.39150166511536;NaN]";"[0.0909558479793564;2;NaN;NaN;NaN;5.27432409644136;3.39150166511536;9]";0.0562500000000021;-0.600000000000001;-0.262157534246575;-1.085;0.27375;-0.197577054794521;0.345914006233215;7.3;339.150.166.511.536;1;12710;73;31.3;21.5;1;1;Lane_change;Baseline;All;Professional
306.388.888.888.889;"[30.6388888888889;-0.0562499999999986;0.0425000000000004;0.083028256893158;-0.661111111111111;NaN]";8;"[NaN;NaN;NaN;NaN;NaN;NaN;3.53033077716827;NaN]";"[NaN;3;NaN;NaN;NaN;NaN;3.53033077716827;2]";0.0999999999999979;-0.506250000000001;-0.123529411764706;-10.725;0.467499999999998;-0.0671078431372546;0.083028256893158;5.1;353.033.077.716.827;1;13104;51;31.3;21.5;1;1;Lane_change;Baseline;All;Professional
285.916.666.666.667;"[28.5916666666667;-0.112500000000001;-0.298749999999998;0.0886238217353821;-2.70833333333333;0.905533378715614]";8;"[25.8907085197773;NaN;NaN;NaN;NaN;-0.268907498874949;3.58942139148712;NaN]";"[0.413539909853535;1;NaN;NaN;NaN;-0.268907498874949;3.58942139148712;1]";0.556249999999999;-0.112500000000001;0.298644578313253;-0.884999999999998;0.454999999999998;-0.0872590361445784;0.0886238217353821;8.3;358.942.139.148.712;1;13322;83;31.3;21.5;1;1;Lane_change;Baseline;All;Professional
291.777.777.777.778;"[29.1777777777778;0.231249999999999;-0.48;0.170964241027832;-2.12222222222222;2.09986405115405]";8;"[61.269366648117;NaN;NaN;NaN;NaN;-4.23392815607692;3.5062153339386;NaN]";"[0.724958560796859;3;NaN;NaN;NaN;-4.23392815607692;3.5062153339386;2]";0.318749999999998;-0.475000000000001;-0.0955615942028984;-0.822499999999998;0.91;-0.122780797101449;0.170964241027832;6.9;35.062.153.339.386;1;13648;69;31.3;213.532.608.695.652;1;1;Lane_change;Baseline;All;Professional
317.166.666.666.667;"[31.7166666666667;0.875;-0.684999999999999;0.0707480311393738;0.416666666666668;NaN]";8;"[NaN;47.5407532466371;1.49260939735264;-0.31969921705857;-41.7219443268541;NaN;3.430060505867;47.5407532466371]";"[NaN;2;1.49260939735264;-0.31969921705857;-41.7219443268541;NaN;3.430060505867;9]";1.2;-0.5;0.393636363636364;-129.125;0.3675;-0.483772727272727;0.0707480311393738;5.5;3.430.060.505.867;0;14066;55;31.3;21.5;1;1;Lane_change;Baseline;All;Professional
266.694.444.444.444;"[26.6694444444444;0.149999999999999;-0.46125;0.0295000076293945;-4.63055555555555;2.16601282112169]";8;"[57.7663585988592;19.3372196376391;0.810265519885767;-0.849733179209664;-0.209907191169876;-4.48090505342879;3.53672337532043;19.3372196376391]";"[-0.409614462197877;3;0.810265519885767;-0.849733179209664;-0.209907191169876;-4.48090505342879;3.53672337532043;11]";0.506249999999998;-0.581250000000001;-0.176770833333333;-0.916249999999998;0.467499999999998;-0.22465625;0.0295000076293945;6;353.672.337.532.043;1;14820;60;31.3;21.5;1;1;Lane_change;Baseline;All;Professional
31.725;"[31.725;-0.112499999999997;0.660625;0.152260541915894;0.425000000000001;1.75493548941655]";8;"[55.67532840174;NaN;NaN;NaN;NaN;1.64670291345862;3.48538875579834;NaN]";"[0.210542387094583;2;NaN;NaN;NaN;1.64670291345862;3.48538875579834;8]";0.356249999999999;-0.243749999999999;0.00231481481481495;-0.46125;131.625;0.385416666666666;0.152260541915894;5.4;348.538.875.579.834;0;16947;54;31.3;221.967.592.592.593;1;1;Lane_change;Baseline;All;Professional
312.416.666.666.667;"[31.2416666666667;0.0500000000000007;-0.236249999999998;0.241859436035156;-0.0583333333333336;NaN]";8;"[NaN;44.4124315204534;1.42992383563226;0.721339972172121;-1.15000127259254;NaN;3.44667482376099;44.4124315204534]";"[NaN;3;1.42992383563226;0.721339972172121;-1.15000127259254;NaN;3.44667482376099;2]";0.0625;-0.40625;-0.168452380952381;-109.125;0.423750000000002;-0.431979166666667;0.241859436035156;4.2;344.667.482.376.099;1;17523;42;31.3;22;1;1;Lane_change;Baseline;All;Professional
293.583.333.333.333;"[29.3583333333333;-0.175000000000001;-0.379999999999999;0.10381281375885;-1.94166666666667;1.69610897340879]";8;"[49.7949326109929;NaN;NaN;NaN;NaN;-5.00919770362031;3.45294332504272;NaN]";"[-0.603984926344427;1;NaN;NaN;NaN;-5.00919770362031;3.45294332504272;7]";0.556249999999999;-0.181249999999999;0.132211538461539;-0.703749999999999;0.517500000000002;-0.126230769230769;0.10381281375885;6.5;345.294.332.504.272;0;18881;65;31.3;22;1;1;Lane_change;Baseline;All;Professional
